,SODIUM,CREATININE,HEMOGLOBIN,LACTATE
MIMIC_vs_eICU-CRD,0.95,0.87,0.81,0.90
MIMIC_vs_PLAGH-ICU db,0.85,0.70,0.68,0.99
MIMIC_vs_AUMCdb,0.87,0.95,0.96,0.85
MIMIC_vs_UCIHJ23 db,0.92,0.85,0.86,0.87
eICU-CRD_vs_MIMIC,0.95,0.87,0.81,0.90
eICU-CRD_vs_PLAGH-ICU db,0.86,0.59,0.84,0.90
eICU-CRD_vs_AUMCdb,0.87,0.86,0.78,0.87
eICU-CRD_vs_UCIHJ23 db,0.92,0.81,0.92,0.87
PLAGH-ICU db_vs_MIMIC,0.85,0.70,0.68,0.99
PLAGH-ICU db_vs_eICU-CRD,0.86,0.59,0.84,0.90
PLAGH-ICU db_vs_AUMCdb,0.96,0.69,0.66,0.85
PLAGH-ICU db_vs_UCIHJ23 db,0.92,0.61,0.77,0.87
AUMCdb_vs_MIMIC,0.87,0.95,0.96,0.85
AUMCdb_vs_eICU-CRD,0.87,0.86,0.78,0.87
AUMCdb_vs_PLAGH-ICU db,0.96,0.69,0.66,0.85
AUMCdb_vs_UCIHJ23 db,0.93,0.84,0.82,0.90
UCIHJ23 db_vs_MIMIC,0.92,0.85,0.86,0.87
UCIHJ23 db_vs_eICU-CRD,0.92,0.81,0.92,0.87
UCIHJ23 db_vs_PLAGH-ICU db,0.92,0.61,0.77,0.87
UCIHJ23 db_vs_AUMCdb,0.93,0.84,0.82,0.90
