,SODIUM,CREATININE,HEMOGLOBIN,LACTATE
MIMIC_vs_e-ICU,0.96,0.86,0.89,0.83
MIMIC_vs_PLAGH,0.95,0.87,0.83,0.98
MIMIC_vs_AUMC,0.79,0.91,0.91,0.86
MIMIC_vs_HJ23,0.91,0.95,0.88,0.89
e-ICU_vs_MIMIC,0.96,0.86,0.89,0.83
e-ICU_vs_PLAGH,0.97,0.75,0.90,0.83
e-ICU_vs_AUMC,0.81,0.87,0.94,0.92
e-ICU_vs_HJ23,0.92,0.86,0.93,0.76
PLAGH_vs_MIMIC,0.95,0.87,0.83,0.98
PLAGH_vs_e-ICU,0.97,0.75,0.90,0.83
PLAGH_vs_AUMC,0.82,0.80,0.86,0.86
PLAGH_vs_HJ23,0.93,0.87,0.94,0.89
AUMC_vs_MIMIC,0.79,0.91,0.91,0.86
AUMC_vs_e-ICU,0.81,0.87,0.94,0.92
AUMC_vs_PLAGH,0.82,0.80,0.86,0.86
AUMC_vs_HJ23,0.87,0.88,0.90,0.79
HJ23_vs_MIMIC,0.91,0.95,0.88,0.89
HJ23_vs_e-ICU,0.92,0.86,0.93,0.76
HJ23_vs_PLAGH,0.93,0.87,0.94,0.89
HJ23_vs_AUMC,0.87,0.88,0.90,0.79
