,SODIUM,CREATININE,HEMOGLOBIN,LACTATE
MIMIC_vs_eICU-CRD,-0.03,-0.23,0.03,-0.33
MIMIC_vs_PLAGH-ICU db,-0.03,0.07,-0.21,nan
MIMIC_vs_AUMCdb,-0.47,0.05,0.11,-0.25
MIMIC_vs_UCIHJ23 db,-0.17,0.02,-0.14,0.11
eICU-CRD_vs_MIMIC,0.03,0.23,-0.03,0.33
eICU-CRD_vs_PLAGH-ICU db,-0.01,0.29,-0.23,nan
eICU-CRD_vs_AUMCdb,-0.42,0.27,0.08,0.09
eICU-CRD_vs_UCIHJ23 db,-0.13,0.24,-0.15,0.40
PLAGH-ICU db_vs_MIMIC,0.03,-0.07,0.21,nan
PLAGH-ICU db_vs_eICU-CRD,0.01,-0.29,0.23,nan
PLAGH-ICU db_vs_AUMCdb,-0.41,-0.03,0.30,nan
PLAGH-ICU db_vs_UCIHJ23 db,-0.13,-0.05,0.08,nan
AUMCdb_vs_MIMIC,0.47,-0.05,-0.11,0.25
AUMCdb_vs_eICU-CRD,0.42,-0.27,-0.08,-0.09
AUMCdb_vs_PLAGH-ICU db,0.41,0.03,-0.30,nan
AUMCdb_vs_UCIHJ23 db,0.29,-0.03,-0.24,0.33
UCIHJ23 db_vs_MIMIC,0.17,-0.02,0.14,-0.11
UCIHJ23 db_vs_eICU-CRD,0.13,-0.24,0.15,-0.40
UCIHJ23 db_vs_PLAGH-ICU db,0.13,0.05,-0.08,nan
UCIHJ23 db_vs_AUMCdb,-0.29,0.03,0.24,-0.33
