,,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source
,,Missing,Overall,AUMC,HJ23,MIMIC,PLAGH,eICU
n,,,259352,20127,4238,38478,63515,132994
"icu_expire_flag, n (%)",0.0,14,242482 (93.50),18198 (90.42),3619 (85.39),35531 (92.34),59772 (94.11),125362 (94.27)
"icu_expire_flag, n (%)",1.0,,16856 (6.50),1929 (9.58),619 (14.61),2947 (7.66),3743 (5.89),7618 (5.73)
"gender, n (%)",0,540,43560 (16.83),,1507 (35.56),16693 (43.38),25360 (39.93),
"gender, n (%)",0.0,,67791 (26.19),6849 (34.84),,,,60942 (45.85)
"gender, n (%)",1,,62670 (24.21),,2730 (64.42),21785 (56.62),38155 (60.07),
"gender, n (%)",1.0,,84790 (32.76),12807 (65.16),,,,71983 (54.15)
"gender, n (%)",U,,1 (0.00),,1 (0.02),,,
"age, median [Q1,Q3]",,20127,"62.97 [50.34,74.10]","nan [nan,nan]","63.00 [50.00,73.00]","65.70 [52.40,77.90]","56.89 [45.89,66.77]","65.00 [53.00,76.00]"
"age_group, n (%)","(17, 39]",0,30445 (11.74),2203 (10.95),534 (12.60),3776 (9.81),9457 (14.89),14475 (10.88)
"age_group, n (%)","(39, 49]",,28936 (11.16),1903 (9.45),494 (11.66),3932 (10.22),10384 (16.35),12223 (9.19)
"age_group, n (%)","(49, 59]",,49429 (19.06),3408 (16.93),729 (17.20),6419 (16.68),15271 (24.04),23602 (17.75)
"age_group, n (%)","(59, 69]",,58793 (22.67),5274 (26.20),986 (23.27),7767 (20.19),15436 (24.30),29330 (22.05)
"age_group, n (%)","(69, 79]",,51777 (19.96),5296 (26.31),1043 (24.61),7923 (20.59),9491 (14.94),28024 (21.07)
"age_group, n (%)","(79, 300]",,39972 (15.41),2043 (10.15),452 (10.67),8661 (22.51),3476 (5.47),25340 (19.05)
"icu_los_hours, median [Q1,Q3]",,2,"47.28 [23.59,101.80]","25.00 [20.00,73.00]","93.70 [48.20,191.52]","50.30 [28.50,98.20]","95.01 [45.67,173.16]","39.00 [21.00,71.00]"
"admission_type, n (%)",ELECTIVE,0,74689 (28.80),14429 (71.69),179 (4.22),6078 (15.80),29398 (46.29),24605 (18.50)
"admission_type, n (%)",EMERGENCY,,184663 (71.20),5698 (28.31),4059 (95.78),32400 (84.20),34117 (53.71),108389 (81.50)
"emergency, n (%)",0.0,3853,132745 (51.96),17612 (87.50),2018 (47.62),19326 (50.23),29872 (50.07),63917 (48.06)
"emergency, n (%)",1.0,,122754 (48.04),2515 (12.50),2220 (52.38),19152 (49.77),29790 (49.93),69077 (51.94)
"unittype, n (%)",CCU,0,35629 (13.74),,,5694 (14.80),20657 (32.52),9278 (6.98)
"unittype, n (%)",CCU-CTICU,,11170 (4.31),,,,,11170 (8.40)
"unittype, n (%)",CSICU,,12117 (4.67),,,,7265 (11.44),4852 (3.65)
"unittype, n (%)",CSRU,,7600 (2.93),,,7600 (19.75),,
"unittype, n (%)",CTICU,,4500 (1.74),,,,,4500 (3.38)
"unittype, n (%)",EICU,,4142 (1.60),,,,4142 (6.52),
"unittype, n (%)",KICU,,2504 (0.97),,,,2504 (3.94),
"unittype, n (%)",MICU,,35463 (13.67),7988 (39.69),3057 (72.13),13600 (35.34),,10818 (8.13)
