,,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source
,,Missing,Overall,AUMC,HJ23,MIMIC,PLAGH,eICU
n,,,62026,5024,907,8938,14943,32214
"icu_expire_flag, n (%)",0.0,10,62016 (100.00),5024 (100.00),907 (100.00),8938 (100.00),14943 (100.00),32204 (100.00)
"gender, n (%)",0,123,10980 (17.74),,320 (35.28),3791 (42.41),6869 (45.97),
"gender, n (%)",0.0,,16779 (27.11),1739 (35.32),,,,15040 (46.72)
"gender, n (%)",1,,13807 (22.30),,586 (64.61),5147 (57.59),8074 (54.03),
"gender, n (%)",1.0,,20336 (32.85),3185 (64.68),,,,17151 (53.28)
"gender, n (%)",U,,1 (0.00),,1 (0.11),,,
"age, median [Q1,Q3]",,5024,"60.00 [47.00,72.00]","nan [nan,nan]","63.00 [47.00,74.00]","63.50 [50.20,76.30]","52.68 [41.70,62.92]","63.00 [49.00,75.00]"
"age_group, n (%)","(17, 39]",0,9795 (15.79),749 (14.91),160 (17.64),1070 (11.97),3092 (20.69),4724 (14.66)
"age_group, n (%)","(39, 49]",,8054 (12.98),601 (11.96),104 (11.47),1001 (11.20),2966 (19.85),3382 (10.50)
"age_group, n (%)","(49, 59]",,12192 (19.66),948 (18.87),142 (15.66),1597 (17.87),3762 (25.18),5743 (17.83)
"age_group, n (%)","(59, 69]",,13165 (21.22),1313 (26.13),183 (20.18),1840 (20.59),3186 (21.32),6643 (20.62)
"age_group, n (%)","(69, 79]",,10510 (16.94),1073 (21.36),201 (22.16),1647 (18.43),1480 (9.90),6109 (18.96)
"age_group, n (%)","(79, 300]",,8310 (13.40),340 (6.77),117 (12.90),1783 (19.95),457 (3.06),5613 (17.42)
"icu_los_hours, median [Q1,Q3]",,0,"18.00 [13.00,21.00]","18.00 [14.00,19.00]","37.30 [23.20,44.20]","22.60 [19.00,25.30]","22.88 [18.03,30.50]","15.00 [9.00,19.00]"
"admission_type, n (%)",ELECTIVE,0,22315 (35.98),4063 (80.87),67 (7.39),1704 (19.06),10965 (73.38),5516 (17.12)
"admission_type, n (%)",EMERGENCY,,39711 (64.02),961 (19.13),840 (92.61),7234 (80.94),3978 (26.62),26698 (82.88)
"emergency, n (%)",0.0,1519,33660 (55.63),4624 (92.04),392 (43.22),4433 (49.60),10364 (77.21),13847 (42.98)
"emergency, n (%)",1.0,,26847 (44.37),400 (7.96),515 (56.78),4505 (50.40),3060 (22.79),18367 (57.02)
"unittype, n (%)",CCU,0,5069 (8.17),,,1307 (14.62),1798 (12.03),1964 (6.10)
"unittype, n (%)",CCU-CTICU,,2088 (3.37),,,,,2088 (6.48)
"unittype, n (%)",CSICU,,2679 (4.32),,,,1330 (8.90),1349 (4.19)
"unittype, n (%)",CSRU,,1739 (2.80),,,1739 (19.46),,
"unittype, n (%)",CTICU,,735 (1.18),,,,,735 (2.28)
"unittype, n (%)",EICU,,489 (0.79),,,,489 (3.27),
"unittype, n (%)",KICU,,60 (0.10),,,,60 (0.40),
"unittype, n (%)",MICU,,9008 (14.52),2760 (54.94),667 (73.54),3232 (36.16),,2349 (7.29)
"unittype, n (%)",Med-Surg ICU,,19861 (32.02),,,,,19861 (61.65)
"unittype, n (%)",NICU,,2230 (3.60),,,,105 (0.70),2125 (6.60)
