,,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source
,,Missing,Overall,AUMC,HJ23,MIMIC,PLAGH,eICU
n,,,242496,18198,3619,35531,59772,125376
"icu_expire_flag, n (%)",0.0,14,242482 (100.00),18198 (100.00),3619 (100.00),35531 (100.00),59772 (100.00),125362 (100.00)
"gender, n (%)",0,480,40510 (16.74),,1300 (35.92),15281 (43.01),23929 (40.03),
"gender, n (%)",0.0,,63560 (26.26),6127 (34.47),,,,57433 (45.83)
"gender, n (%)",1,,58411 (24.14),,2318 (64.05),20250 (56.99),35843 (59.97),
"gender, n (%)",1.0,,79534 (32.86),11647 (65.53),,,,67887 (54.17)
"gender, n (%)",U,,1 (0.00),,1 (0.03),,,
"age, median [Q1,Q3]",,18198,"62.00 [50.00,74.00]","nan [nan,nan]","62.00 [48.00,73.00]","65.10 [51.90,77.40]","56.46 [45.63,66.24]","65.00 [52.00,76.00]"
"age_group, n (%)","(17, 39]",0,29306 (12.09),2063 (11.34),514 (14.20),3629 (10.21),9046 (15.13),14054 (11.21)
"age_group, n (%)","(39, 49]",,27749 (11.44),1749 (9.61),447 (12.35),3747 (10.55),10014 (16.75),11792 (9.41)
"age_group, n (%)","(49, 59]",,46973 (19.37),3130 (17.20),629 (17.38),6049 (17.02),14632 (24.48),22533 (17.97)
"age_group, n (%)","(59, 69]",,55105 (22.72),4830 (26.54),826 (22.82),7229 (20.35),14579 (24.39),27641 (22.05)
"age_group, n (%)","(69, 79]",,47675 (19.66),4770 (26.21),862 (23.82),7260 (20.43),8618 (14.42),26165 (20.87)
"age_group, n (%)","(79, 300]",,35688 (14.72),1656 (9.10),341 (9.42),7617 (21.44),2883 (4.82),23191 (18.50)
"icu_los_hours, median [Q1,Q3]",,2,"47.00 [23.58,97.80]","24.00 [20.00,67.00]","93.80 [50.20,185.65]","49.10 [28.20,93.50]","94.84 [45.93,168.25]","39.00 [21.00,70.00]"
"admission_type, n (%)",ELECTIVE,0,72478 (29.89),13576 (74.60),175 (4.84),5969 (16.80),28595 (47.84),24163 (19.27)
"admission_type, n (%)",EMERGENCY,,170018 (70.11),4622 (25.40),3444 (95.16),29562 (83.20),31177 (52.16),101213 (80.73)
"emergency, n (%)",0.0,3814,124782 (52.28),16142 (88.70),1696 (46.86),18064 (50.84),28649 (51.20),60231 (48.04)
"emergency, n (%)",1.0,,113900 (47.72),2056 (11.30),1923 (53.14),17467 (49.16),27309 (48.80),65145 (51.96)
"unittype, n (%)",CCU,0,33448 (13.79),,,5239 (14.74),19627 (32.84),8582 (6.85)
"unittype, n (%)",CCU-CTICU,,10587 (4.37),,,,,10587 (8.44)
"unittype, n (%)",CSICU,,11748 (4.84),,,,7117 (11.91),4631 (3.69)
"unittype, n (%)",CSRU,,7397 (3.05),,,7397 (20.82),,
"unittype, n (%)",CTICU,,4360 (1.80),,,,,4360 (3.48)
"unittype, n (%)",EICU,,3601 (1.48),,,,3601 (6.02),
"unittype, n (%)",KICU,,2321 (0.96),,,,2321 (3.88),
"unittype, n (%)",MICU,,32337 (13.34),7503 (41.23),2604 (71.95),12253 (34.49),,9977 (7.96)
"unittype, n (%)",Med-Surg ICU,,69340 (28.59),,,,,69340 (55.31)
"unittype, n (%)",NICU,,11096 (4.58),,,,1173 (1.96),9923 (7.91)
