,,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source,Grouped by source
,,Missing,Overall,AUMC,HJ23,MIMIC,PLAGH,eICU
n,,,16856,1929,619,2947,3743,7618
"icu_expire_flag, n (%)",1.0,0,16856 (100.00),1929 (100.00),619 (100.00),2947 (100.00),3743 (100.00),7618 (100.00)
"gender, n (%)",0,60,3050 (18.16),,207 (33.44),1412 (47.91),1431 (38.23),
"gender, n (%)",0.0,,4231 (25.19),722 (38.36),,,,3509 (46.14)
"gender, n (%)",1,,4259 (25.36),,412 (66.56),1535 (52.09),2312 (61.77),
"gender, n (%)",1.0,,5256 (31.29),1160 (61.64),,,,4096 (53.86)
"age, median [Q1,Q3]",,1929,"69.10 [57.07,79.90]","nan [nan,nan]","69.00 [58.00,77.00]","73.40 [60.00,82.50]","64.39 [51.73,75.27]","71.00 [59.00,81.00]"
"age_group, n (%)","(17, 39]",0,1139 (6.76),140 (7.26),20 (3.23),147 (4.99),411 (10.98),421 (5.53)
"age_group, n (%)","(39, 49]",,1187 (7.04),154 (7.98),47 (7.59),185 (6.28),370 (9.89),431 (5.66)
"age_group, n (%)","(49, 59]",,2456 (14.57),278 (14.41),100 (16.16),370 (12.56),639 (17.07),1069 (14.03)
"age_group, n (%)","(59, 69]",,3688 (21.88),444 (23.02),160 (25.85),538 (18.26),857 (22.90),1689 (22.17)
"age_group, n (%)","(69, 79]",,4102 (24.34),526 (27.27),181 (29.24),663 (22.50),873 (23.32),1859 (24.40)
"age_group, n (%)","(79, 300]",,4284 (25.42),387 (20.06),111 (17.93),1044 (35.43),593 (15.84),2149 (28.21)
"icu_los_hours, median [Q1,Q3]",,0,"67.00 [23.72,172.00]","70.00 [26.00,194.00]","92.00 [31.60,242.95]","90.70 [40.20,200.15]","116.67 [41.86,271.02]","44.00 [15.00,110.00]"
"admission_type, n (%)",ELECTIVE,0,2211 (13.12),853 (44.22),4 (0.65),109 (3.70),803 (21.45),442 (5.80)
"admission_type, n (%)",EMERGENCY,,14645 (86.88),1076 (55.78),615 (99.35),2838 (96.30),2940 (78.55),7176 (94.20)
"emergency, n (%)",0.0,39,7963 (47.35),1470 (76.21),322 (52.02),1262 (42.82),1223 (33.02),3686 (48.39)
"emergency, n (%)",1.0,,8854 (52.65),459 (23.79),297 (47.98),1685 (57.18),2481 (66.98),3932 (51.61)
"unittype, n (%)",CCU,0,2181 (12.94),,,455 (15.44),1030 (27.52),696 (9.14)
"unittype, n (%)",CCU-CTICU,,583 (3.46),,,,,583 (7.65)
"unittype, n (%)",CSICU,,369 (2.19),,,,148 (3.95),221 (2.90)
"unittype, n (%)",CSRU,,203 (1.20),,,203 (6.89),,
"unittype, n (%)",CTICU,,140 (0.83),,,,,140 (1.84)
"unittype, n (%)",EICU,,541 (3.21),,,,541 (14.45),
"unittype, n (%)",KICU,,183 (1.09),,,,183 (4.89),
"unittype, n (%)",MICU,,3126 (18.55),485 (25.14),453 (73.18),1347 (45.71),,841 (11.04)
"unittype, n (%)",Med-Surg ICU,,4245 (25.18),,,,,4245 (55.72)
"unittype, n (%)",NICU,,737 (4.37),,,,267 (7.13),470 (6.17)
"unittype, n (%)",NSICU,,328 (1.95),,,,328 (8.76),
"unittype, n (%)",RICU,,464 (2.75),,,,464 (12.40),
